parent_sku,format,qty_available,highest_bid,least_listing_price,last_bbx_transaction,market_price,has_already_bidded,name,product_url,family_type,maturity,colour,country,region,subregion,grape_varieties,vintage,sweetness,producer,sku,alcohol_percentage,case_size,bottle_volume,bottle_order_unit,bbx_listing_id,bbx_listing_date
20188020822,06-00750,103,0.0,280,0,455.5,False,"2018 Beaune, Les Grèves, 1er Cru, Dominique Lafon, Burgundy",/products-20188020822-2018-beaune-les-greves-1er-cru-dominique-lafon-burgundy,Wines,Ready - youthful,Red,France,Burgundy,Côte de Beaune,['Pinot Noir'],2018,Dry,Dominique Lafon,2018-06-00750-00-8020822,['13'],6,75 cl,Bottle,37506,2025-06-29
20208013437,06-00750,52,135.0,160,0,122.5,False,"2020 Château Doisy Daëne, Barsac, Bordeaux",/products-20208013437-2020-chateau-doisy-daene-barsac-bordeaux,Wines,Ready - at best,White,France,Bordeaux,Graves & Sauternes,,2020,Luscious,Château Doisy-Daëne,2020-06-00750-00-8013437,['13.5'],6,75 cl,Bottle,37491,2025-06-28
20208013437,12-00375,56,89.0,260,200,122.5,False,"2020 Château Doisy Daëne, Barsac, Bordeaux",/products-20208013437-2020-chateau-doisy-daene-barsac-bordeaux,Wines,Ready - at best,White,France,Bordeaux,Graves & Sauternes,,2020,Luscious,Château Doisy-Daëne,2020-06-00750-00-8013437,['13.5'],6,75 cl,Bottle,37491,2025-06-28
20208072889,06-00750,30,130.0,165,0,165.0,False,"2020 Barolo, del Comune di Serralunga d’Alba, Mauro Veglio, Piedmont, Italy",/products-20208072889-2020-barolo-del-comune-di-serralunga-d-alba-mauro-veglio-piedmont-italy,Wines,Not ready,Red,Italy,Piedmont,Barolo,['Nebbiolo'],2020,Dry,Mauro Veglio,2020-06-00750-00-8072889,['14.5'],6,75 cl,Bottle,37496,2025-06-28
20208052498,06-00750,4,0.0,250,0,0.0,False,"2020 Le Lucciole, Sangiovese Predappio, Riserva, Chiara Condello, Romagna, Italy",/products-20208052498-2020-le-lucciole-sangiovese-predappio-riserva-chiara-condello-romagna-italy,Wines,Ready - youthful,Red,Italy,Emilia-Romagna,Romagna,['Sangiovese'],2020,Dry,Chiara Condello,2020-06-00750-G1-8052498,['14'],6,75 cl,Bottle,37495,2025-06-28
20211447086,06-00750,42,0.0,280,0,270.0,False,"2021 Bourgogne Rouge, Domaine Guyon",/products-20211447086-2021-bourgogne-rouge-domaine-guyon,Wines,Ready - youthful,Red,France,Burgundy,Bourgogne,['Pinot Noir'],2021,Dry,Domaine Guyon,2021-06-00750-00-1447086,['13'],6,75 cl,Bottle,37500,2025-06-29
20218023634,06-00750,29,492.0,900,0,715.5,False,"2021 Clos de Vougeot, Grand Cru, Domaine Castagnier, Burgundy",/products-20218023634-2021-clos-de-vougeot-grand-cru-domaine-castagnier-burgundy,Wines,Not ready,Red,France,Burgundy,Côte de Nuits,['Pinot Noir'],2021,Dry,Domaine Castagnier,2021-06-00750-00-8023634,['13.5'],6,75 cl,Bottle,37501,2025-06-29
20218301756,12-00750,1,0.0,150,0,0.0,False,"2021 Lirac Rouge, Château Mont-Redon, Rhône",/products-20218301756-2021-lirac-rouge-chateau-mont-redon-rhone,Wines,Ready - youthful,Red,,,,,2021,Dry,Château Mont-Redon,2021-12-00750-G1-8301756,['14.5'],12,75 cl,Bottle,37497,2025-06-28
20021082946,01-00750,115,300.0,830,0,0.0,False,"2002 Champagne Salon, Le Mesnil, Blanc de Blancs, Brut",/products-20021082946-2002-champagne-salon-le-mesnil-blanc-de-blancs-brut,Wines,Ready - at best,White,France,Champagne,Côte des Blancs,['Chardonnay'],2002,Dry,Salon,2002-01-00750-01-1082946,['12'],1,75 cl,Bottle,37483,2025-06-28
20021082946,01-01500,19,1150.0,0,0,0.0,False,"2002 Champagne Salon, Le Mesnil, Blanc de Blancs, Brut",/products-20021082946-2002-champagne-salon-le-mesnil-blanc-de-blancs-brut,Wines,Ready - at best,White,France,Champagne,Côte des Blancs,['Chardonnay'],2002,Dry,Salon,2002-01-00750-01-1082946,['12'],1,75 cl,Bottle,37483,2025-06-28
