parent_sku,format,qty_available,highest_bid,least_listing_price,last_bbx_transaction,market_price,has_already_bidded,name,product_url,family_type,maturity,colour,country,region,subregion,grape_varieties,vintage,sweetness,producer,sku,alcohol_percentage,case_size,bottle_volume,bottle_order_unit,bbx_listing_id,bbx_listing_date
20161118698,01-05000,10,0.0,0,0,105.56,False,"2016 Domaine de Baronarques, Rouge, Limoux, Languedoc",/products-20161118698-2016-domaine-de-baronarques-rouge-limoux-languedoc,Wines,Ready - youthful,Red,France,Languedoc-Roussillon,Languedoc,"['Cabernet Sauvignon', 'Syrah', 'Merlot', 'Cabernet Franc', 'Malbec']",2016.0,Dry,Baron Philippe de Rothschild,2016-06-00750-00-1118698,['15'],6,75 cl,Bottle,23872,2025-05-02
20161118698,01-06000,18,0.0,400,0,126.67,False,"2016 Domaine de Baronarques, Rouge, Limoux, Languedoc",/products-20161118698-2016-domaine-de-baronarques-rouge-limoux-languedoc,Wines,Ready - youthful,Red,France,Languedoc-Roussillon,Languedoc,"['Cabernet Sauvignon', 'Syrah', 'Merlot', 'Cabernet Franc', 'Malbec']",2016.0,Dry,Baron Philippe de Rothschild,2016-06-00750-00-1118698,['15'],6,75 cl,Bottle,23872,2025-05-02
20161118698,06-00750,404,72.0,99,115,95.0,False,"2016 Domaine de Baronarques, Rouge, Limoux, Languedoc",/products-20161118698-2016-domaine-de-baronarques-rouge-limoux-languedoc,Wines,Ready - youthful,Red,France,Languedoc-Roussillon,Languedoc,"['Cabernet Sauvignon', 'Syrah', 'Merlot', 'Cabernet Franc', 'Malbec']",2016.0,Dry,Baron Philippe de Rothschild,2016-06-00750-00-1118698,['15'],6,75 cl,Bottle,23872,2025-05-02
20161013153,01-06000,2,175.0,500,0,209.33,False,"2016 Château Meyney, St Estèphe, Bordeaux",/products-20161013153-2016-chateau-meyney-st-estephe-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']",2016.0,Dry,Château Meyney,2016-12-00750-G0-1013153,['14'],12,75 cl,Bottle,23876,2025-05-02
20161013153,03-01500,11,120.0,0,0,157.0,False,"2016 Château Meyney, St Estèphe, Bordeaux",/products-20161013153-2016-chateau-meyney-st-estephe-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']",2016.0,Dry,Château Meyney,2016-12-00750-G0-1013153,['14'],12,75 cl,Bottle,23876,2025-05-02
20161013153,06-00750,473,140.0,160,300,157.0,False,"2016 Château Meyney, St Estèphe, Bordeaux",/products-20161013153-2016-chateau-meyney-st-estephe-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']",2016.0,Dry,Château Meyney,2016-12-00750-G0-1013153,['14'],12,75 cl,Bottle,23876,2025-05-02
20161013153,06-01500,1,220.0,0,0,314.0,False,"2016 Château Meyney, St Estèphe, Bordeaux",/products-20161013153-2016-chateau-meyney-st-estephe-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']",2016.0,Dry,Château Meyney,2016-12-00750-G0-1013153,['14'],12,75 cl,Bottle,23876,2025-05-02
20161013153,12-00750,28,255.0,305,0,314.0,False,"2016 Château Meyney, St Estèphe, Bordeaux",/products-20161013153-2016-chateau-meyney-st-estephe-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']",2016.0,Dry,Château Meyney,2016-12-00750-G0-1013153,['14'],12,75 cl,Bottle,23876,2025-05-02
20178125699,06-00750,20,245.0,333,330,311.0,False,"2017 Penfolds, Bin 407 Cabernet Sauvignon, Australia",/products-20178125699-2017-penfolds-bin-407-cabernet-sauvignon-australia,Wines,Ready - youthful,Red,Australia,South Australia,,['Cabernet Sauvignon'],2017.0,Dry,4201,2017-06-00750-00-8125699,['14.5'],6,75CL,BOTTLE,23875,2025-05-02
20188029128,01-03000,10,68.0,0,0,90.0,False,"2018 Boekenhoutskloof, The Chocolate Block, Franschhoek, South Africa",/products-20188029128-2018-boekenhoutskloof-the-chocolate-block-franschhoek-south-africa,Wines,Ready - at best,Red,South Africa,Coastal Region,Franschhoek/ Franschhoek Valley,"['Other Varieties', 'Viognier', 'Grenache', 'Cabernet Sauvignon', 'Syrah', 'Cinsault']",2018.0,Dry,Boekenhoutskloof Winery,2018-03-01500-00-8029128,['14.5'],3,150 cl,Magnum,23886,2025-05-02
